cleaned_tweet,product,reply,Polarity,Sentiment
oregon nonprofit host second rainbow saturday artisan fair sandy event support local lgbtqowned allyowned small business,Outlook,,0.11249999999999999,Positive
cdt spc outlook slight risk across much northcentral florida southern georgia,Outlook,,0.011111111111111118,Positive
theyre everywhere need know recognize need prepared see coach greg help find book time today,Outlook,,0.0,Neutral
amazing accessibility ribbon expanded outlook window making message accessible easier ever place ever find microsoftoutlook accessibility,Outlook,,0.48750000000000004,Positive
gaming made earning primary outlook shift performanceoriented earning future gaming look like,Outlook,,0.2,Positive
experience beauty sex appeal get eaten fast law diminishing return natural tbh like new car year thing sustains relationship characterattitude personality outlook towards life little detail,Outlook,,0.0622159090909091,Positive
long haul ive purchased selling cheap lawrence changed muln outlook big way start paying attention hit noise,Outlook,,0.11666666666666668,Positive
good deal done good together introducing multifamily outlook download uncover next cre opportunity multifamilyoutlook workwithwalker,Outlook,,0.4666666666666666,Positive
thread read,Outlook,,0.0,Neutral
literally counting blessing change outlook life thread,Outlook,,0.0,Neutral
look son called quick part outlook email select quick part whammo work probably person team know know maybe day get use quick part,Outlook,,0.3333333333333333,Positive
look son called quick part outlook email select quick part whammo work probably person team know know maybe day get use quick part,Outlook,thats right son allowed hang anything want cubicle wall,0.3333333333333333,Positive
jpmorgan debut model used decipher fed speech potential trading signal generativeai,Outlook,,0.0,Neutral
batman took song used twice bruce monologue talk essentially thing yet second see character growth bruce changed outlook batman simple effective,Outlook,,0.15,Positive
thousand year india outlook towards health holistic great tradition preventive health,Outlook,,0.8,Positive
shifted focus confirmation institutional survival inspiring teenager join missional project initiated jesus entrusted church join webinar thursday april click link register,Outlook,,0.5,Positive
experience beauty sex appeal get eaten fast law diminishing return natural tbh like new car year thing sustains relationship characterattitude personality outlook towards life little detail,Outlook,,0.0622159090909091,Positive
despite recent turbulence global economic growth rebounded modestly outlook economy,Outlook,,0.07500000000000001,Positive
despite recent turbulence global economic growth rebounded modestly outlook economy,Outlook,make voice heard take minute share perspective expertise leading trend cre participate crewomenspeak survey may,0.07500000000000001,Positive
imp thing resignation tc ceo main reasonthe pressure canary coalmineone feel pressure life thing ampoutlook arent looking good spoke volume sector near term future infys miss actually foretold,Outlook,,0.1933333333333333,Positive
accor report robust recovery revised outlook,Outlook,,0.0,Neutral
